iter	Passed	Remaining
138	3112	19282
139	3130	19228
140	3150	19192
141	3165	19128
142	3188	19107
143	3206	19063
144	3225	19021
145	3245	18982
146	3263	18937
147	3279	18880
148	3295	18824
149	3310	18760
150	3323	18687
151	3342	18646
152	3359	18599
153	3376	18550
154	3393	18499
155	3411	18459
156	3433	18438
157	3462	18452
158	3512	18578
159	3560	18694
160	3586	18691
161	3622	18740
162	3649	18740
163	3674	18730
164	3695	18703
165	3712	18654
166	3737	18641
167	3758	18612
168	3781	18592
169	3804	18573
170	3824	18542
171	3870	18630
172	3908	18682
173	3927	18643
174	3955	18645
175	3972	18600
176	3991	18560
177	4012	18529
178	4042	18539
179	4062	18505
180	4090	18507
181	4118	18512
182	4136	18466
183	4153	18418
184	4170	18374
185	4185	18318
186	4210	18306
187	4229	18266
188	4247	18227
189	4266	18189
190	4291	18177
191	4318	18172
192	4333	18120
193	4349	18070
194	4368	18035
195	4392	18016
196	4411	17981
197	4425	17924
198	4445	17893
199	4463	17854
200	4478	17802
201	4498	17770
202	4518	17740
203	4536	17699
204	4550	17648
205	4570	17614
206	4584	17562
207	4606	17538
208	4621	17491
209	4640	17457
210	4658	17421
211	4680	17397
212	4703	17377
213	4719	17334
214	4741	17310
215	4762	17285
216	4777	17239
217	4795	17203
218	4813	17164
219	4829	17121
220	4846	17082
221	4866	17055
222	4893	17051
223	4909	17009
224	4927	16973
225	4945	16936
226	4962	16897
227	4980	16863
228	4995	16819
229	5012	16781
230	5034	16760
231	5047	16709
232	5069	16686
233	5087	16653
234	5109	16632
235	5130	16608
236	5140	16550
237	5157	16514
238	5173	16474
239	5195	16451
240	5210	16409
241	5231	16387
242	5248	16351
243	5268	16325
244	5285	16287
245	5305	16262
246	5325	16234
247	5351	16228
248	5374	16208
249	5393	16181
250	5409	16142
251	5423	16097
252	5441	16066
253	5457	16029
254	5476	16000
255	5489	15953
256	5506	15920
257	5521	15879
258	5542	15858
259	5564	15838
260	5586	15816
261	5604	15785
262	5621	15754
263	5636	15713
264	5652	15678
265	5670	15647
266	5686	15611
267	5703	15576
268	5718	15541
269	5735	15507
270	5753	15477
271	5773	15453
272	5801	15450
273	5822	15428
274	5846	15414
275	5866	15387
276	5884	15358
277	5901	15327
278	5918	15293
279	5932	15253
280	5943	15207
281	5962	15180
282	5985	15165
283	6004	15137
284	6019	15102
285	6037	15071
286	6053	15039
287	6067	15000
288	6083	14965
289	6098	14931
290	6113	14895
291	6128	14859
292	6144	14827
293	6164	14803
294	6181	14773
295	6205	14758
296	6225	14736
297	6242	14706
298	6259	14674
299	6278	14649
300	6295	14619
301	6310	14584
302	6324	14547
303	6342	14521
304	6362	14497
305	6380	14471
306	6414	14479
307	6432	14453
308	6447	14417
309	6469	14400
310	6491	14382
311	6508	14351
312	6524	14321
313	6541	14291
314	6558	14262
315	6576	14235
316	6597	14213
317	6622	14202
318	6642	14181
319	6661	14155
320	6677	14123
321	6693	14094
322	6708	14059
323	6723	14027
324	6739	13996
325	6756	13968
326	6775	13944
327	6792	13917
328	6811	13891
329	6826	13859
330	6862	13870
331	6883	13850
332	6897	13815
333	6914	13787
334	6927	13751
335	6941	13718
336	6956	13686
337	6972	13655
338	6991	13632
339	7007	13602
340	7031	13588
341	7050	13564
342	7072	13546
343	7096	13533
344	7113	13504
345	7130	13478
346	7146	13447
347	7168	13429
348	7184	13401
349	7200	13372
350	7217	13345
351	7238	13325
352	7257	13302
353	7276	13278
354	7297	13258
355	7312	13228
356	7328	13199
357	7350	13182
358	7368	13155
359	7389	13136
360	7413	13122
361	7432	13099
362	7455	13082
363	7472	13055
364	7512	13070
365	7532	13048
366	7552	13026
367	7566	12993
368	7597	12992
369	7614	12964
370	7629	12936
371	7645	12907
372	7666	12886
373	7680	12856
374	7705	12842
375	7728	12825
376	7746	12801
377	7761	12771
378	7780	12747
379	7798	12723
380	7813	12695
381	7830	12667
382	7854	12652
383	7873	12630
384	7895	12612
385	7921	12600
386	7938	12574
387	7954	12547
388	7969	12518
389	7991	12500
390	8009	12475
391	8026	12448
392	8044	12424
393	8060	12398
394	8083	12381
395	8103	12359
396	8123	12338
397	8138	12309
398	8159	12290
399	8190	12285
400	8206	12259
401	8222	12231
402	8239	12206
403	8259	12184
404	8277	12160
405	8300	12143
406	8319	12121
407	8336	12096
408	8360	12080
409	8379	12058
410	8394	12030
411	8414	12009
412	8432	11985
413	8449	11959
414	8466	11935
415	8481	11906
416	8502	11886
417	8521	11865
418	8546	11850
419	8568	11832
420	8620	11855
421	8702	11918
422	8774	11969
423	8809	11968
424	8827	11942
425	8850	11925
426	8866	11898
427	8884	11874
428	8903	11850
429	8918	11821
430	8936	11797
431	8953	11772
432	8971	11747
433	8995	11731
434	9016	11711
435	9035	11688
436	9055	11667
437	9069	11637
438	9090	11616
439	9113	11599
440	9134	11578
441	9151	11552
442	9166	11524
443	9181	11497
444	9196	11470
445	9217	11449
446	9232	11421
447	9251	11399
448	9267	11372
449	9281	11343
450	9297	11317
451	9321	11301
452	9345	11284
453	9366	11264
454	9386	11242
455	9407	11223
456	9430	11204
457	9447	11180
458	9471	11163
459	9491	11141
460	9516	11127
461	9530	11098
462	9552	11079
463	9572	11058
464	9595	11039
465	9628	11033
466	9654	11018
467	9688	11013
468	9725	11011
469	9743	10986
470	9760	10962
471	9778	10938
472	9793	10911
473	9811	10888
474	9826	10861
475	9847	10840
476	9868	10820
477	9883	10793
478	9908	10777
479	9926	10753
480	9942	10727
481	9956	10700
482	9971	10673
483	9990	10650
484	10013	10632
485	10025	10602
486	10039	10575
487	10057	10552
488	10082	10535
489	10107	10519
490	10128	10500
491	10142	10472
492	10166	10454
493	10180	10427
494	10199	10405
495	10220	10385
496	10235	10359
497	10253	10336
498	10271	10312
499	10299	10299
500	10317	10276
501	10334	10252
502	10351	10227
503	10374	10210
504	10396	10191
505	10414	10167
506	10433	10145
507	10449	10120
508	10464	10094
509	10484	10072
510	10502	10050
511	10519	10026
512	10539	10005
513	10558	9983
514	10576	9960
515	10591	9934
516	10611	9913
517	10628	9890
518	10644	9865
519	10661	9841
520	10678	9817
521	10696	9795
522	10726	9783
523	10745	9761
524	10760	9736
525	10777	9712
526	10795	9689
527	10814	9667
528	10828	9641
529	10845	9617
530	10865	9596
531	10880	9571
532	10901	9551
533	10917	9527
534	10937	9506
535	10957	9485
536	10974	9462
537	10992	9439
538	11011	9418
539	11025	9392
540	11042	9369
541	11058	9344
542	11075	9321
543	11090	9296
544	11115	9280
545	11140	9263
546	11163	9244
547	11177	9219
548	11190	9192
549	11208	9170
550	11227	9149
551	11242	9124
552	11255	9098
553	11271	9074
554	11288	9051
555	11307	9029
556	11329	9010
557	11349	8990
558	11373	8972
559	11393	8951
560	11414	8932
561	11431	8909
562	11449	8886
563	11467	8864
564	11482	8840
565	11501	8819
566	11517	8795
567	11533	8772
568	11552	8750
569	11569	8727
570	11592	8709
571	11614	8690
572	11633	8669
573	11650	8646
574	11669	8625
575	11684	8601
576	11702	8578
577	11716	8554
578	11733	8531
579	11752	8510
580	11769	8487
581	11784	8464
582	11811	8448
583	11830	8427
584	11848	8405
585	11865	8382
586	11881	8359
587	11898	8336
588	11915	8314
589	11931	8291
590	11950	8270
591	11974	8252
592	11996	8233
593	12017	8214
594	12035	8192
595	12051	8169
596	12062	8142
597	12077	8119
598	12098	8099
599	12122	8081
600	12138	8058
601	12154	8035
602	12166	8010
603	12190	7992
604	12216	7975
605	12229	7951
606	12244	7927
607	12260	7904
608	12275	7881
609	12292	7858
610	12311	7838
611	12338	7822
612	12356	7801
613	12373	7779
614	12395	7759
615	12417	7740
616	12430	7715
617	12451	7696
618	12470	7675
619	12488	7654
620	12507	7633
621	12523	7610
622	12540	7588
623	12559	7567
624	12576	7545
625	12606	7531
626	12636	7517
627	12654	7495
628	12670	7473
629	12687	7451
630	12706	7430
631	12722	7407
632	12738	7385
633	12754	7363
634	12778	7344
635	12800	7326
636	12822	7306
637	12842	7286
638	12857	7263
639	12875	7242
640	12888	7218
641	12903	7195
642	12919	7173
643	12937	7151
644	12952	7128
645	12969	7107
646	12985	7085
647	13007	7065
648	13026	7045
649	13047	7025
650	13065	7004
651	13080	6981
652	13097	6960
653	13122	6942
654	13148	6925
655	13165	6903
656	13183	6882
657	13207	6864
658	13227	6844
659	13244	6822
660	13265	6803
661	13281	6780
662	13299	6760
663	13314	6737
664	13343	6722
665	13363	6701
666	13378	6679
667	13396	6658
668	13421	6640
669	13447	6623
670	13463	6601
671	13481	6580
672	13497	6558
673	13515	6536
674	13532	6515
675	13552	6495
676	13572	6475
677	13586	6452
678	13603	6431
679	13627	6412
680	13645	6392
681	13661	6369
682	13686	6352
683	13703	6331
684	13722	6310
685	13741	6289
686	13757	6268
687	13774	6246
688	13797	6227
689	13815	6206
690	13835	6187
691	13854	6166
692	13880	6149
693	13898	6128
694	13918	6107
695	13937	6087
696	13955	6066
697	13971	6044
698	13987	6023
699	14005	6002
700	14023	5981
701	14040	5960
702	14066	5942
703	14086	5922
704	14102	5901
705	14126	5882
706	14151	5864
707	14169	5843
708	14186	5822
709	14201	5800
710	14226	5782
711	14246	5762
712	14266	5742
713	14285	5722
714	14312	5704
715	14330	5684
716	14345	5662
717	14366	5642
718	14384	5621
719	14404	5601
720	14420	5580
721	14439	5559
722	14460	5540
723	14478	5519
724	14498	5499
725	14518	5479
726	14540	5460
727	14559	5439
728	14579	5419
729	14598	5399
730	14614	5378
731	14632	5357
732	14651	5337
733	14681	5320
734	14748	5317
735	14782	5302
736	14832	5293
737	14864	5276
738	14898	5261
739	14930	5245
740	14949	5225
741	14965	5203
742	14979	5181
743	14995	5159
744	15012	5138
745	15031	5117
746	15048	5096
747	15064	5075
748	15080	5053
749	15108	5036
750	15136	5018
751	15153	4997
752	15173	4977
753	15193	4956
754	15211	4936
755	15226	4914
756	15243	4893
757	15260	4872
758	15276	4850
759	15296	4830
760	15314	4809
761	15338	4790
762	15359	4770
763	15380	4751
764	15393	4728
765	15419	4710
766	15437	4689
767	15453	4668
768	15472	4647
769	15490	4627
770	15508	4606
771	15528	4586
772	15549	4566
773	15570	4546
774	15603	4530
775	15622	4509
776	15641	4488
777	15656	4467
778	15674	4446
779	15687	4424
780	15708	4404
781	15722	4382
782	15738	4361
783	15755	4340
784	15780	4322
785	15800	4302
786	15820	4281
787	15833	4259
788	15849	4238
789	15866	4217
790	15884	4197
791	15906	4177
792	15925	4157
793	15937	4134
794	15958	4115
795	15980	4095
796	15997	4074
797	16013	4053
798	16031	4032
799	16048	4012
800	16064	3991
801	16082	3970
802	16098	3949
803	16116	3928
804	16130	3907
805	16147	3886
806	16161	3865
807	16181	3845
808	16207	3826
809	16225	3806
810	16243	3785
811	16259	3764
812	16277	3744
813	16295	3723
814	16311	3702
815	16329	3682
816	16351	3662
817	16374	3643
818	16399	3624
819	16417	3603
820	16430	3582
821	16445	3561
822	16461	3540
823	16478	3519
824	16495	3499
825	16511	3478
826	16528	3457
827	16545	3436
828	16561	3416
829	16579	3395
830	16613	3378
831	16639	3359
832	16656	3339
833	16673	3318
834	16692	3298
835	16711	3278
836	16730	3258
837	16744	3237
838	16763	3216
839	16783	3196
840	16811	3178
841	16835	3159
842	16854	3138
843	16871	3118
844	16887	3097
845	16906	3077
846	16926	3057
847	16945	3037
848	16961	3016
849	16979	2996
850	16995	2975
851	17019	2956
852	17035	2935
853	17053	2915
854	17071	2895
855	17098	2876
856	17115	2855
857	17135	2835
858	17152	2815
859	17168	2794
860	17182	2773
861	17200	2753
862	17225	2734
863	17247	2714
864	17265	2694
865	17283	2674
866	17303	2654
867	17320	2634
868	17335	2613
869	17351	2592
870	17369	2572
871	17386	2552
872	17404	2531
873	17421	2511
874	17437	2491
875	17462	2471
876	17479	2451
877	17496	2431
878	17515	2411
879	17539	2391
880	17553	2371
881	17576	2351
882	17592	2331
883	17612	2311
884	17633	2291
885	17651	2271
886	17670	2251
887	17692	2231
888	17708	2211
889	17728	2191
890	17747	2171
891	17763	2150
892	17782	2130
893	17800	2110
894	17814	2089
895	17837	2070
896	17857	2050
897	17885	2031
898	17904	2011
899	17920	1991
900	17934	1970
901	17949	1950
902	17965	1929
903	17980	1909
904	17997	1889
905	18019	1869
906	18039	1849
907	18055	1829
908	18076	1809
909	18105	1790
910	18123	1770
911	18143	1750
912	18159	1730
913	18172	1709
914	18195	1690
915	18214	1670
916	18231	1650
917	18252	1630
918	18281	1611
919	18310	1592
920	18338	1572
921	18368	1553
922	18398	1534
923	18439	1516
924	18465	1497
925	18503	1478
926	18533	1459
927	18565	1440
928	18599	1421
929	18628	1402
930	18646	1381
931	18667	1362
932	18697	1342
933	18729	1323
934	18745	1303
935	18763	1282
936	18779	1262
937	18796	1242
938	18814	1222
939	18830	1201
940	18844	1181
941	18861	1161
942	18886	1141
943	18910	1121
944	18926	1101
945	18944	1081
946	18969	1061
947	18987	1041
948	19001	1021
949	19013	1000
950	19035	980
951	19051	960
952	19072	940
953	19109	921
954	19128	901
955	19140	880
956	19158	860
957	19180	840
958	19200	820
959	19214	800
960	19229	780
961	19243	760
962	19263	740
963	19282	720
964	19303	700
965	19328	680
966	19344	660
967	19356	639
968	19371	619
969	19389	599
970	19406	579
971	19421	559
972	19437	539
973	19455	519
974	19471	499
975	19492	479
976	19509	459
977	19529	439
978	19549	419
979	19571	399
980	19600	379
981	19618	359
982	19635	339
983	19653	319
984	19666	299
985	19683	279
986	19702	259
987	19724	239
988	19750	219
989	19771	199
990	19795	179
991	19809	159
992	19830	139
993	19847	119
994	19863	99
995	19881	79
996	19899	59
997	19919	39
998	19939	19
999	19955	0
