iter	RMSE
282	184989.0798
283	184982.7279
284	184887.5091
285	184769.946
286	184665.4821
287	184649.7208
288	184438.7213
289	184427.2197
290	184319.5812
291	184313.9312
292	184195.5262
293	184064.9626
294	184031.41
295	183785.5999
296	183660.2242
297	183492.9955
298	183375.4426
299	183253.0696
300	183153.863
301	183125.5584
302	183067.431
303	182956.907
304	182792.3818
305	182659.721
306	182313.5651
307	182215.7035
308	182121.0656
309	181997.4688
310	181895.3503
311	181827.4153
312	181789.4984
313	181715.6945
314	181622.7387
315	181525.6264
316	181401.5285
317	181269.1058
318	181171.5165
319	181023.7461
320	180937.5366
321	180828.9246
322	180796.1183
323	180764.1903
324	180693.2043
325	180562.2649
326	180472.2587
327	180418.3591
328	180346.5666
329	180305.442
330	180145.6343
331	180074.4647
332	179942.4132
333	179923.156
334	179909.0444
335	179788.1508
336	179717.4255
337	179616.0784
338	179477.1615
339	179359.4225
340	179207.0408
341	179077.1981
342	178959.633
343	178853.8021
344	178750.0055
345	178571.1485
346	178475.4458
347	178395.9345
348	178271.8488
349	178178.5619
350	178125.2246
351	178009.025
352	177936.3674
353	177898.8713
354	177816.4861
355	177765.8516
356	177599.6682
357	177477.0889
358	177382.6074
359	177281.3528
360	177171.3618
361	177076.7976
362	176986.1358
363	176968.4811
364	176833.2541
365	176739.4864
366	176638.0117
367	176564.7052
368	176446.6621
369	176343.3543
370	176250.6098
371	176229.6457
372	176106.4215
373	176010.366
374	175957.8217
375	175903.4204
376	175819.7918
377	175805.9442
378	175765.3101
379	175656.0234
380	175595.296
381	175497.3211
382	175404.1694
383	175296.5403
384	175232.0712
385	175054.4101
386	174968.7686
387	174886.0647
388	174746.2727
389	174684.1662
390	174611.3416
391	174568.6461
392	174407.9069
393	174343.0722
394	174256.2802
395	174172.9275
396	174077.9869
397	174011.6599
398	173920.213
399	173797.3192
400	173720.7997
401	173629.8597
402	173572.0211
403	173453.6679
404	173352.6622
405	173255.258
406	173180.6668
407	173079.4715
408	173014.5477
409	172956.0537
410	172885.4723
411	172668.0715
412	172496.1737
413	172369.5808
414	172262.2086
415	172178.6953
416	172076.2253
417	172025.1695
418	171975.0807
419	171914.5127
420	171851.0425
421	171787.5254
422	171666.7935
423	171593.17
424	171524.0777
425	171457.1759
426	171384.5933
427	171274.3586
428	171056.7854
429	170996.3788
430	170835.5615
431	170732.8957
432	170651.1995
433	170524.286
434	170446.1362
435	170347.0148
436	170230.4651
437	170125.8135
438	170042.3455
439	169908.0541
440	169844.7161
441	169767.0698
442	169696.0238
443	169652.313
444	169635.8623
445	169620.7212
446	169549.7031
447	169485.9842
448	169390.9682
449	169358.1185
450	169278.5695
451	169265.3071
452	169202.9087
453	169113.7254
454	168994.5702
455	168930.5554
456	168869.1212
457	168781.2348
458	168754.2729
459	168653.4132
460	168577.3639
461	168552.2947
462	168499.1402
463	168418.3561
464	168358.3682
465	168290.1802
466	168218.2634
467	168143.4351
468	168080.932
469	168014.7637
470	167917.972
471	167864.4615
472	167821.6063
473	167705.7388
474	167662.1068
475	167559.8318
476	167481.8529
477	167428.4239
478	167360.4431
479	167312.4709
480	167274.684
481	167209.2392
482	167186.8126
483	167122.1775
484	167067.0457
485	167028.3108
486	166943.2897
487	166859.589
488	166797.0169
489	166694.2586
490	166647.3568
491	166598.9633
492	166535.027
493	166503.4451
494	166462.3326
495	166401.1624
496	166383.865
497	166313.9394
498	166281.4973
499	166185.6959
500	166096.344
501	166063.7096
502	166046.7733
503	165980.9389
504	165899.7939
505	165849.7788
506	165775.9665
507	165765.3509
508	165716.0128
509	165654.2002
510	165599.2559
511	165512.7715
512	165451.0629
513	165390.4225
514	165326.6307
515	165282.6767
516	165219.0602
517	165161.8104
518	165118.2726
519	165074.0125
520	165018.2183
521	164963.7465
522	164850.2262
523	164803.7958
524	164764.8791
525	164721.3138
526	164670.1898
527	164641.0711
528	164572.0943
529	164557.115
530	164505.326
531	164456.9849
532	164367.9621
533	164354.9164
534	164302.8029
535	164291.2591
536	164214.4078
537	164149.9101
538	164108.094
539	164075.0199
540	163980.4384
541	163887.1833
542	163836.9104
543	163799.7809
544	163692.3138
545	163600.2718
546	163504.5516
547	163451.4044
548	163427.7837
549	163335.1278
550	163137.3279
551	163080.9341
552	163070.2626
553	163003.2838
554	162939.5539
555	162879.8168
556	162775.5769
557	162718.1722
558	162655.2747
559	162606.6131
560	162491.6531
561	162424.8127
562	162384.6724
563	162292.8512
564	162240.5886
565	162176.573
566	162127.442
567	162101.9933
568	161944.9223
569	161899.8913
570	161770.5974
571	161720.8561
572	161648.4731
573	161573.4032
574	161537.206
575	161503.5987
576	161447.1293
577	161368.8965
578	161327.4428
579	161286.7729
580	161231.7834
581	161180.7683
582	161106.6562
583	161051.0259
584	161010.2467
585	160909.7961
586	160880.7715
587	160812.8225
588	160767.8777
589	160620.168
590	160576.2351
591	160526.9583
592	160432.6621
593	160378.3981
594	160307.0229
595	160253.404
596	160229.5196
597	160182.0079
598	160123.0426
599	160087.5879
600	160048.5201
601	160016.229
602	159925.8515
603	159896.386
604	159841.2129
605	159793.5033
606	159770.4933
607	159729.7331
608	159694.6306
609	159642.3635
610	159585.3815
611	159366.4367
612	159292.9882
613	159244.7505
614	159205.4729
615	159183.3583
616	159158.8525
617	159071.2623
618	159002.2959
619	158950.5453
620	158881.8239
621	158851.5831
622	158790.151
623	158759.1962
624	158678.5986
625	158610.6848
626	158574.1875
627	158490.9653
628	158368.1149
629	158297.0168
630	158241.2196
631	158177.3218
632	158144.9345
633	158069.7514
634	158020.0038
635	157988.6129
636	157944.3544
637	157898.5578
638	157820.1528
639	157701.0162
640	157661.4445
641	157634.0183
642	157596.5998
643	157546.0182
644	157478.7722
645	157350.648
646	157297.0548
647	157268.049
648	157226.5433
649	157168.5019
650	157105.3683
651	157088.7367
652	157073.9551
653	157000.4898
654	156960.379
655	156881.3682
656	156850.8693
657	156818.4658
658	156787.0441
659	156745.6118
660	156644.4119
661	156622.6316
662	156580.728
663	156549.658
664	156514.3103
665	156480.1309
666	156466.7928
667	156386.4327
668	156321.0438
669	156270.5273
670	156214.5579
671	156178.4591
672	156156.3332
673	156114.1065
674	156042.0941
675	155965.1893
676	155921.9246
677	155868.0743
678	155812.0717
679	155691.7396
680	155649.3153
681	155607.0985
682	155549.0087
683	155495.4584
684	155454.1293
685	155403.7637
686	155370.0712
687	155330.9503
688	155251.9536
689	155197.1912
690	155174.958
691	155137.5375
692	155065.7265
693	155008.5365
694	154946.0565
695	154922.1095
696	154790.8802
697	154763.9444
698	154751.2633
699	154691.094
700	154636.5452
701	154544.6775
702	154460.9249
703	154417.537
704	154366.4103
705	154319.8428
706	154287.0126
707	154258.6626
708	154207.2619
709	154167.6739
710	154000.6545
711	153921.4084
712	153876.6737
713	153839.1006
714	153804.8207
715	153761.2666
716	153712.3326
717	153670.22
718	153622.8597
719	153563.8381
720	153499.9216
721	153419.3364
722	153334.3657
723	153275.1064
724	153253.9225
725	153217.4151
726	153180.1127
727	153142.2704
728	153100.7695
729	153058.8073
730	153031.6014
731	153011.4147
732	152937.4556
733	152902.8975
734	152866.6031
735	152838.8159
736	152828.6476
737	152764.3143
738	152732.7657
739	152676.7099
740	152625.6917
741	152598.0768
742	152585.2142
743	152535.874
744	152465.611
745	152428.7338
746	152383.3975
747	152323.2562
748	152257.7469
749	152228.2089
750	152201.48
751	152170.7392
752	152097.8434
753	152070.1518
754	152018.1287
755	152012.5539
756	151983.2089
757	151950.1382
758	151915.4512
759	151872.0464
760	151859.1443
761	151845.2006
762	151803.5198
763	151738.9763
764	151715.2654
765	151632.1647
766	151582.5463
767	151548.9071
768	151522.405
769	151490.7552
770	151458.2539
771	151320.0573
772	151291.9801
773	151261.4721
774	151192.4911
775	151146.68
776	151082.4573
777	151016.6726
778	150918.1217
779	150884.6789
780	150861.0161
781	150801.7098
782	150777.1585
783	150764.8119
784	150660.6665
785	150611.4736
786	150520.0108
787	150517.4457
788	150497.8615
789	150463.2378
790	150419.7265
791	150368.3198
792	150329.7306
793	150307.7038
794	150242.4854
795	150207.8492
796	150157.5879
797	150145.1105
798	150102.6263
799	150054.2912
800	150036.9939
801	149986.972
802	149969.7409
803	149921.8644
804	149890.6726
805	149854.0812
806	149831.3063
807	149769.6895
808	149754.7436
809	149699.6408
810	149673.3943
811	149656.8504
812	149546.1973
813	149499.1685
814	149462.1034
815	149399.7833
816	149354.28
817	149301.5246
818	149172.4608
819	149151.8024
820	149132.6831
821	149109.984
822	149066.5904
823	149052.5538
824	149023.6702
825	148989.4589
826	148926.2112
827	148897.0708
828	148863.4969
829	148793.0376
830	148724.688
831	148673.9994
832	148602.9395
833	148490.5801
834	148434.0919
835	148411.5074
836	148382.986
837	148350.4895
838	148276.6124
839	148254.5265
840	148230.5939
841	148192.244
842	148117.6037
843	148042.8039
844	147949.4901
845	147907.4538
846	147870.5645
847	147820.5023
848	147752.9537
849	147725.1927
850	147703.5087
851	147675.2594
852	147635.2193
853	147575.7653
854	147549.9085
855	147468.6485
856	147409.2982
857	147382.7644
858	147341.9407
859	147320.3096
860	147313.2028
861	147301.5089
862	147276.1367
863	147230.6291
864	147192.7184
865	147165.4991
866	147132.4519
867	147097.5268
868	147071.832
869	147036.6128
870	147003.5151
871	146972.8163
872	146948.4568
873	146928.8445
874	146892.0862
875	146870.7134
876	146846.9374
877	146835.8507
878	146795.4442
879	146767.6724
880	146705.3556
881	146683.7404
882	146555.1083
883	146529.7446
884	146474.8385
885	146420.9721
886	146408.4801
887	146365.7814
888	146347.7054
889	146312.8507
890	146295.0717
891	146267.9655
892	146199.097
893	146174.3112
894	146151.0894
895	146116.2208
896	146082.9478
897	146019.5291
898	145965.0417
899	145922.2385
900	145903.259
901	145812.4912
902	145785.0821
903	145730.2333
904	145654.2585
905	145634.6777
906	145602.616
907	145585.9466
908	145549.7146
909	145526.8418
910	145491.8931
911	145446.3386
912	145424.8658
913	145361.0266
914	145320.8556
915	145251.491
916	145224.4448
917	145195.6593
918	145170.3435
919	145137.146
920	145099.2081
921	145085.9463
922	145074.5701
923	145062.2443
924	145015.9556
925	144987.6552
926	144945.4875
927	144932.2746
928	144903.1653
929	144882.6818
930	144848.7049
931	144840.4256
932	144794.5007
933	144772.4675
934	144756.8403
935	144727.9759
936	144713.0959
937	144671.623
938	144615.1478
939	144568.3723
940	144550.7304
941	144531.9849
942	144498.0154
943	144454.5781
944	144434.3065
945	144318.8878
946	144276.2344
947	144226.8626
948	144196.7914
949	144166.7259
950	144146.7076
951	144107.5338
952	144051.1737
953	144019.2659
954	143979.3105
955	143957.6533
956	143928.2829
957	143900.9583
958	143854.7581
959	143826.414
960	143800.6926
961	143766.0558
962	143710.2333
963	143681.6738
964	143631.7181
965	143557.4845
966	143543.9458
967	143515.8781
968	143494.6696
969	143463.4582
970	143431.6285
971	143403.2664
972	143362.2138
973	143290.2837
974	143268.0738
975	143223.9834
976	143211.1303
977	143170.1325
978	143149.6646
979	143132.6399
980	143115.0822
981	143081.7944
982	143039.223
983	142995.9877
984	142981.0472
985	142967.4498
986	142934.8468
987	142875.3507
988	142813.817
989	142744.7501
990	142702.3791
991	142676.9554
992	142662.6117
993	142646.6685
994	142618.9958
995	142578.0496
996	142533.2004
997	142501.5295
998	142478.5313
999	142430.289
